,Robust,Stable,Classification
0,No,Yes,{1}
1,No,No,"{0, 1}"
2,No,No,"{0, 1}"
3,No,No,"{0, 1}"
4,No,No,"{0, 1}"
5,No,No,"{0, 1}"
6,No,No,"{0, 1}"
7,No,No,"{0, 1}"
8,No,No,"{0, 1}"
9,No,No,"{0, 1}"
10,No,No,"{0, 1}"
11,No,No,"{0, 1}"
12,No,No,"{0, 1}"
13,Yes,Yes,{0}
14,No,No,"{0, 1}"
15,No,Yes,{1}
16,No,No,"{0, 1}"
17,No,No,"{0, 1}"
18,No,No,"{0, 1}"
19,No,No,"{0, 1}"
20,Yes,Yes,{0}
21,Yes,Yes,{1}
22,No,No,"{0, 1}"
23,No,No,"{0, 1}"
24,No,Yes,{1}
25,No,No,"{0, 1}"
26,No,No,"{0, 1}"
27,No,No,"{0, 1}"
28,No,No,"{0, 1}"
29,No,No,"{0, 1}"
30,No,No,"{0, 1}"
31,No,No,"{0, 1}"
32,Yes,Yes,{1}
33,No,No,"{0, 1}"
34,No,No,"{0, 1}"
35,No,No,"{0, 1}"
36,Yes,Yes,{0}
37,No,No,"{0, 1}"
38,No,No,"{0, 1}"
39,No,No,"{0, 1}"
40,No,No,"{0, 1}"
41,No,No,"{0, 1}"
42,No,No,"{0, 1}"
43,No,No,"{0, 1}"
44,Yes,Yes,{0}
45,No,No,"{0, 1}"
46,No,No,"{0, 1}"
47,No,No,"{0, 1}"
48,No,No,"{0, 1}"
49,No,No,"{0, 1}"
50,No,No,"{0, 1}"
51,No,No,"{0, 1}"
52,No,No,"{0, 1}"
53,Yes,Yes,{1}
54,No,No,"{0, 1}"
55,No,No,"{0, 1}"
56,No,No,"{0, 1}"
57,No,No,"{0, 1}"
58,No,No,"{0, 1}"
59,No,No,"{0, 1}"
60,No,No,"{0, 1}"
61,No,No,"{0, 1}"
62,Yes,Yes,{0}
63,No,No,"{0, 1}"
64,Yes,Yes,{0}
65,No,No,"{0, 1}"
66,No,No,"{0, 1}"
67,No,Yes,{1}
68,No,No,"{0, 1}"
69,No,No,"{0, 1}"
70,No,No,"{0, 1}"
71,No,No,"{0, 1}"
72,No,Yes,{0}
73,No,Yes,{1}
74,No,No,"{0, 1}"
75,No,No,"{0, 1}"
76,No,No,"{0, 1}"
77,No,No,"{0, 1}"
78,No,No,"{0, 1}"
79,Yes,Yes,{1}
80,No,No,"{0, 1}"
81,No,No,"{0, 1}"
82,No,No,"{0, 1}"
83,No,No,"{0, 1}"
84,No,No,"{0, 1}"
85,No,No,"{0, 1}"
86,No,No,"{0, 1}"
87,No,No,"{0, 1}"
88,No,Yes,{0}
89,No,No,"{0, 1}"
90,No,No,"{0, 1}"
91,No,No,"{0, 1}"
92,No,No,"{0, 1}"
93,No,No,"{0, 1}"
94,No,No,"{0, 1}"
95,Yes,Yes,{0}
96,No,No,"{0, 1}"
97,No,No,"{0, 1}"
98,Yes,Yes,{1}
99,No,No,"{0, 1}"
100,No,Yes,{0}
101,No,Yes,{0}
102,No,No,"{0, 1}"
103,No,No,"{0, 1}"
104,Yes,Yes,{0}
105,No,No,"{0, 1}"
106,No,No,"{0, 1}"
107,No,No,"{0, 1}"
108,Yes,Yes,{0}
109,No,Yes,{1}
110,No,No,"{0, 1}"
111,No,No,"{0, 1}"
112,Yes,Yes,{1}
113,No,No,"{0, 1}"
114,No,No,"{0, 1}"
115,No,Yes,{1}
116,No,No,"{0, 1}"
117,No,Yes,{1}
118,No,No,"{0, 1}"
119,No,No,"{0, 1}"
120,No,No,"{0, 1}"
121,No,No,"{0, 1}"
122,No,No,"{0, 1}"
123,Yes,Yes,{0}
124,Yes,Yes,{1}
125,No,No,"{0, 1}"
126,No,No,"{0, 1}"
127,No,Yes,{0}
128,No,No,"{0, 1}"
129,No,No,"{0, 1}"
130,No,No,"{0, 1}"
131,Yes,Yes,{1}
132,No,No,"{0, 1}"
133,No,No,"{0, 1}"
134,No,No,"{0, 1}"
135,No,No,"{0, 1}"
136,No,No,"{0, 1}"
137,No,No,"{0, 1}"
138,No,No,"{0, 1}"
139,No,No,"{0, 1}"
140,No,No,"{0, 1}"
141,Yes,Yes,{0}
142,Yes,Yes,{1}
143,No,No,"{0, 1}"
144,Yes,Yes,{1}
145,No,No,"{0, 1}"
146,No,No,"{0, 1}"
147,No,No,"{0, 1}"
148,Yes,Yes,{0}
149,No,No,"{0, 1}"
150,Yes,Yes,{1}
151,No,No,"{0, 1}"
152,Yes,Yes,{0}
153,No,No,"{0, 1}"
154,No,No,"{0, 1}"
155,No,Yes,{1}
156,No,No,"{0, 1}"
157,No,No,"{0, 1}"
158,No,No,"{0, 1}"
159,No,No,"{0, 1}"
160,No,Yes,{1}
161,No,Yes,{1}
162,No,No,"{0, 1}"
163,No,No,"{0, 1}"
164,Yes,Yes,{0}
165,No,No,"{0, 1}"
166,No,No,"{0, 1}"
167,No,No,"{0, 1}"
168,No,No,"{0, 1}"
169,No,No,"{0, 1}"
170,No,No,"{0, 1}"
171,No,No,"{0, 1}"
172,No,Yes,{1}
173,No,No,"{0, 1}"
174,No,No,"{0, 1}"
175,Yes,Yes,{1}
176,No,No,"{0, 1}"
177,No,No,"{0, 1}"
178,No,No,"{0, 1}"
179,No,Yes,{1}
180,No,Yes,{1}
181,No,No,"{0, 1}"
182,No,No,"{0, 1}"
183,No,No,"{0, 1}"
184,No,No,"{0, 1}"
185,No,No,"{0, 1}"
186,No,No,"{0, 1}"
187,No,No,"{0, 1}"
188,No,No,"{0, 1}"
189,No,No,"{0, 1}"
190,No,No,"{0, 1}"
191,No,No,"{0, 1}"
192,No,No,"{0, 1}"
193,No,No,"{0, 1}"
194,No,Yes,{1}
195,No,No,"{0, 1}"
196,No,No,"{0, 1}"
197,Yes,Yes,{1}
198,No,No,"{0, 1}"
199,No,No,"{0, 1}"
200,No,No,"{0, 1}"
201,No,No,"{0, 1}"
202,No,No,"{0, 1}"
203,No,No,"{0, 1}"
204,No,No,"{0, 1}"
205,No,No,"{0, 1}"
206,No,No,"{0, 1}"
207,No,Yes,{1}
208,No,No,"{0, 1}"
209,No,No,"{0, 1}"
210,No,No,"{0, 1}"
211,No,No,"{0, 1}"
212,Yes,Yes,{1}
213,No,No,"{0, 1}"
214,No,No,"{0, 1}"
215,No,No,"{0, 1}"
216,No,No,"{0, 1}"
217,No,No,"{0, 1}"
218,No,No,"{0, 1}"
219,Yes,Yes,{1}
220,No,No,"{0, 1}"
221,No,No,"{0, 1}"
222,No,No,"{0, 1}"
223,No,No,"{0, 1}"
224,Yes,Yes,{1}
225,No,Yes,{1}
226,No,No,"{0, 1}"
227,Yes,Yes,{0}
228,No,No,"{0, 1}"
229,No,No,"{0, 1}"
230,No,No,"{0, 1}"
231,No,No,"{0, 1}"
232,No,No,"{0, 1}"
233,No,No,"{0, 1}"
234,Yes,Yes,{1}
235,No,No,"{0, 1}"
236,No,No,"{0, 1}"
237,No,No,"{0, 1}"
238,Yes,Yes,{1}
239,No,No,"{0, 1}"
