,Robust,Stable,Classification
0,No,Yes,{1}
1,Yes,Yes,{1}
2,Yes,Yes,{1}
3,No,Yes,{1}
4,No,Yes,{1}
5,Yes,Yes,{0}
6,Yes,Yes,{0}
7,Yes,Yes,{0}
8,Yes,Yes,{0}
9,No,No,"{0, 1}"
10,No,No,"{0, 1}"
11,No,No,"{0, 1}"
12,No,No,"{0, 1}"
13,Yes,Yes,{0}
14,No,Yes,{0}
15,No,Yes,{1}
16,No,No,"{0, 1}"
17,Yes,Yes,{0}
18,No,No,"{0, 1}"
19,No,No,"{0, 1}"
20,Yes,Yes,{0}
21,Yes,Yes,{1}
22,No,Yes,{1}
23,No,No,"{0, 1}"
24,No,Yes,{1}
25,No,Yes,{1}
26,Yes,Yes,{1}
27,No,Yes,{1}
28,No,No,"{0, 1}"
29,No,Yes,{1}
30,Yes,Yes,{1}
31,Yes,Yes,{1}
32,Yes,Yes,{1}
33,Yes,Yes,{1}
34,No,No,"{0, 1}"
35,No,No,"{0, 1}"
36,Yes,Yes,{0}
37,No,Yes,{1}
38,No,No,"{0, 1}"
39,No,No,"{0, 1}"
40,Yes,Yes,{1}
41,No,No,"{0, 1}"
42,Yes,Yes,{1}
43,No,Yes,{1}
44,Yes,Yes,{0}
45,Yes,Yes,{0}
46,No,No,"{0, 1}"
47,Yes,Yes,{1}
48,No,No,"{0, 1}"
49,No,No,"{0, 1}"
50,Yes,Yes,{1}
51,No,No,"{0, 1}"
52,Yes,Yes,{1}
53,Yes,Yes,{1}
54,Yes,Yes,{1}
55,No,No,"{0, 1}"
56,Yes,Yes,{1}
57,No,No,"{0, 1}"
58,No,Yes,{0}
59,No,No,"{0, 1}"
60,No,No,"{0, 1}"
61,No,No,"{0, 1}"
62,Yes,Yes,{0}
63,No,No,"{0, 1}"
64,Yes,Yes,{0}
65,No,No,"{0, 1}"
66,Yes,Yes,{0}
67,No,Yes,{1}
68,Yes,Yes,{0}
69,No,No,"{0, 1}"
70,No,No,"{0, 1}"
71,Yes,Yes,{0}
72,No,Yes,{0}
73,No,Yes,{1}
74,Yes,Yes,{1}
